,Code Pays,Pays,Importations de Champagne (€),Importations de vin ($),Part de Vin dans la consommation d'alcool (%),Importations totales en % du PIB,Nombre annuel de touristes,Population totale,Nombre d'expatriés français,PIB par habitant en PPA,Taux de pauvreté (%),Taux d'inscription dans le supérieur (%),Global Peace Index,Pourcentage De Musulmans (%),Distance avec la France (km),Taxes de Douane (%)
35,CYP,CHYPRE,3 513 277,"$20,273,000",28.4,74.19567531670894,3794250.0,1189014.2,1 316,38843.80242977508,"16,1(2015)",78.2335834503174,1.8734000000000002,.3,2954.551,
36,CZE,RÉPUBLIQUE TCHÈQUE,7 872 658,"$270,443,000",21.3,69.2132781921601,34496000.0,10632292.8,4 837,40284.43928877513,"9,7(2015)",64.2956428527832,1.3744,,884.6105,30.0
37,BEN,BÉNIN,1 656 944,,9.6,31.83673487696272,314500.0,11491329.6,3 727,3243.288802739982,"40,1(2015)",12.580176671346033,1.9922,.7,4726.537,20.0
38,DNK,DANEMARK,29 135 316,"$779,286,000",44.7,49.01964599170485,30783000.0,5786490.4,5 659,57047.5011977098,"11,9(2015)",81.17396926879883,1.2696,.4,1027.609,
39,DOM,RÉPUBLIQUE DOMINICAINE,3 543 818,"$39,947,000",4.4,27.33277783412948,7291500.0,10624971.4,3 493,17620.567590130464,"30,5(2016)",57.20729446411135,2.0974,,7178.52,20.0
40,ECU,ÉQUATEUR,374 383,"$16,884,000",1.5,21.628958061629298,2004500.0,17075509.6,2 716,11446.940956937804,"21,5(2017)",47.7714996337891,1.9898000000000002,.1,9367.098,
41,SLV,EL SALVADOR,109 866,,1.3,45.30643625300765,2368500.0,6420950.4,,8575.968866153558,,28.625436782836932,,,8984.298,20.0
42,GNQ,GUINÉE ÉQUATORIALE,1 354 477,"$9,690,000",17,43.38665264587907,,1309024.4,312,20220.81823903291,"44,0(2011)",,1.9205999999999999,,5058.926,
43,ETH,ÉTHIOPIE,2 137 836,,0.3,22.23837142507091,866250.0,109254021.4,1 067,2158.3308119286817,"23,5(2015)",10.364606539408367,2.3526,.9,5582.502,
44,EST,ESTONIE,6 965 425,"$74,995,000",7.4,71.52209138059433,6055750.0,1322621.2,340,35502.61980410209,"21,1(2016)",71.25844764709473,1.7244,.1,1859.091,0.0
45,FJI,FIDJI,513 217,,1.2,51.78272866963793,1004250.0,883951.0,193,13315.424198956083,"34,0(2013)",53.4931602478027,,.3,16595.08,32.0
46,FIN,FINLANDE,17 466 214,"$246,639,000",20.6,37.76953808384549,3120750.0,5514273.4,3 258,48908.60822232914,"11,6(2015)",89.59827995300293,1.4734,.8,1911.138,
47,DJI,DJIBOUTI,43 513,,16.7,137.76210035026253,,958739.8,3 994,5293.09155265349,"21,1(2017)",,2.2296,97,5595.459,26.0
48,GAB,GABON,2 578 357,"$9,394,000",9.2,23.68480661569036,,2118055.0,8 563,15013.877023878498,"33,4(2017)",21.0658702850342,2.0412,10,5438.787,30.0
49,GEO,GÉORGIE,1 029 042,,43,59.020143225770084,6701250.0,3723243.8,440,14285.69029346474,"20,1",59.91609954833982,2.1247999999999996,.7,3373.349,
50,DEU,ALLEMAGNE,203 280 078,"$2,949,214,000",28.4,39.714197066038324,37862750.0,82848988.0,109 425,53868.41768276213,"16,7(2015)",70.92273521423343,1.5124,6,439.8984,
51,GHA,GHANA,2 808 685,"$17,871,000",6.6,36.61137924966935,,29772264.4,1 105,5413.627248862937,"23,4(2016)",16.63225994110108,1.7944000000000002,.6,4827.292,20.0
52,GIB,GIBRALTAR,226 321,,,,,33714.6,,,,,,4,1549.175,
53,GRC,GRÈCE,12 678 996,"$33,233,000",45.5,38.37826340219963,31327250.0,10740132.6,9 177,28997.737992049264,"36,0(2014)",139.88158798217776,1.9954,2,2098.726,
54,GRL,GROENLAND,17 568,,,46.2948167857118,,56194.6,,,,,,.1,3584.681,
55,GRD,GRENADE,47 398,,7,,499250.0,111421.4,,16266.631373318833,"38,0(2008)",100.39120483398438,,.1,7120.287,35.0
56,GTM,GUATEMALA,281 935,"$12,958,000",2.1,27.39523693685353,2248000.0,16344883.4,1 008,8615.78791863946,"59,3(2014)",22.1422004699707,2.2444,.1,9001.048,20.0
57,GIN,GUINÉE,196 960,,8.9,53.44189261935353,81000.0,12424856.0,2 424,2509.607301262983,"55,2(2012)",8.365682482719421,2.1393999999999997,2,4691.556,20.0
58,HTI,HAÏTI,212 198,,0.3,34.37720347730802,1171500.0,11122227.6,1 511,3155.195596876823,"58,5(2012)",,2.0618000000000003,.1,7361.197,20.0
59,HND,HONDURAS,112 933,,1.2,57.310224027329866,2252500.0,9587611.2,256,5584.593441912463,"61,9",24.221920013427724,2.2536,.1,8810.234,15.0
60,HKG,HONG-KONG,44 905 491,"$968,174,000",,182.45177776681155,59047000.0,7433700.0,,60183.57418401049,,77.79422607421876,,,9639.476,
61,HUN,HONGRIE,3 426 149,"$23,890,000",32.2,78.80244456381809,56729000.0,9779691.4,2 556,31305.417252676492,"14,5(2015)",49.82260513305665,1.519,.1,1247.24,62.9
62,ISL,ISLANDE,1 871 650,"$31,095,000",27.9,40.03272879581844,2233500.0,351709.6,675,56558.74506398888,"8,8(2015)",74.03438377380374,1.1064,.1,2234.723,0.0
63,IND,INDE,5 000 830,"$13,173,000",0.1,21.33952033530455,16362500.0,1352451690.6,8 530,6439.507655783828,"21,9(2011)",28.06922607421874,2.5578,.2,6594.23,150.0
64,IDN,INDONÉSIE,1 519 437,,76.4,18.92136640215106,14369000.0,267605418.4,4 320,11490.921416201785,"10,6(2017)",36.06427892049157,1.8175999999999999,.2,11584.25,90.0
65,IRQ,IRAQ,47 610,,2.4,27.02239780249216,,38425863.4,,10333.135766323074,"23,0(2014)",,,,3867.434,
66,IRL,IRLANDE,10 074 386,"$391,016,000",28,106.51283481047116,10578750.0,4871820.6,10 505,83740.27543095764,"9,8(2016)",76.95014381408691,1.409,.4,778.2031,
67,ISR,ISRAËL,1 836 767,"$52,060,000",4.7,27.15491989251874,4056750.0,8882600.0,53 317,40468.37097310424,"22,0(2014)",62.51424026489257,2.7396000000000003,18,3281.899,12.0
68,ITA,ITALIE,179 859 598,"$343,286,000",64.8,27.375659022651668,90870900.390625,60173814.2,40 168,42293.71429248934,"20,6(2015)",63.30338573455809,1.7571999999999999,.8,1109.901,
69,CIV,CÔTE D'IVOIRE,5 935 560,,,22.611282226267143,1854500.0,25084851.2,18 095,5121.7069649354735,"46,3(2015)",9.414406458536783,2.2088,,4884.159,20.0
70,JAM,JAMAÏQUE,892 390,,4.8,49.81418857672928,4166250.0,2934276.2,122,9638.292958709373,"17,1(2016)",,2.0796,.1,7734.696,40.0
71,JPN,JAPON,354 686 375,"$1,566,018,000",5.5,16.666866610056115,28951250.0,126482072.0,10 516,41828.74013103314,"16,1(2013)",63.83177439371743,1.3651999999999997,.1,9725.629,
72,KAZ,KAZAKHSTAN,965 500,"$35,880,000",6.5,26.64224913269507,7878500.0,18275279.2,358,25810.017048884725,"2,5(2017)",56.63564987182618,1.9768000000000001,.2,5561.785,12.5
73,JOR,JORDANIE,273 999,,2.6,50.86730246481986,4771000.0,9922057.0,1 526,10110.351944113649,"14,4(2010)",33.55173225402834,2.0620000000000003,.2,3371.398,
74,KEN,KENYA,749 855,"$14,592,000",1.8,20.943487853801333,1715750.0,51402102.8,1 867,4358.987764731624,"36,1(2016)",10.976613362630198,2.3202,.2,6491.402,25.0
75,KWT,KOWEÏT,13 814,,,46.420097181950496,7883750.0,4125583.6,1 192,49296.60774949689,,56.69027557373048,1.7795999999999998,.6,4415.222,
76,KGZ,KIRGHIZISTAN,316 635,,2.2,63.888920420952445,5969000.0,6329660.0,,5085.5782788431925,"25,6(2017)",43.59364013671876,2.2158,80,5424.702,
77,LBN,LIBAN,3 804 206,,15.4,41.17008946268892,1861250.0,6814842.6,25 022,14985.313714118329,"27,4(2012)",,2.7758000000000003,59,3197.032,
78,LVA,LETTONIE,4 578 692,"$138,564,000",11.1,60.670176821166535,7660000.0,1928865.8,312,30131.912313490797,"21,8(2015)",89.13781356811523,1.6902000000000001,.1,1704.598,8.75
79,LIE,LIECHTENSTEIN,113 811,,,,82950.00076293945,37907.0,,,,37.52766513824465,,.4,,
80,LTU,LITUANIE,3 360 002,"$270,818,000",7.3,69.5600593390126,5794250.0,2817402.8,506,35810.02014539394,"21,9(2015)",72.31881332397462,1.7768000000000002,.1,1700.296,40.0
81,LUX,LUXEMBOURG,10 752 294,"$125,160,000",61.5,165.6648245213898,1039750.0,607715.2,35 784,116703.06359693094,"16,5(2015)",18.934042453765873,,3,289.1023,
82,MAC,MACAO,1 891 244,"$85,351,000",,38.860672067213365,34692750.0,631364.6,,114023.33258532864,,93.37702484130867,,.1,9601.923,
83,MDG,MADAGASCAR,180 054,,8.2,33.10473554772851,366000.0,26277503.8,16 287,1610.387162457433,"70,7(2012)",5.246932625770568,1.863,10,8763.332,20.0
